"Process Architecture for the Integration of Outpatient, Hospitalization and Emergency Services in Level III Hospitals in Peru","Albornoz, Miguel",Miguel,male,0.9999807251023727,True
"Process Architecture for the Integration of Outpatient, Hospitalization and Emergency Services in Level III Hospitals in Peru","Ranilla, Caroline",Caroline,female,0.9999943674163155,True
"Process Architecture for the Integration of Outpatient, Hospitalization and Emergency Services in Level III Hospitals in Peru","Mauricio, David",David,male,0.9999952928042082,True
"Process Architecture for the Integration of Outpatient, Hospitalization and Emergency Services in Level III Hospitals in Peru","Burga-Durango, Daniel",Daniel,male,0.9999484956264236,True
Best practices for business process automation description–a case study,"Silvares, Catarina",Catarina,female,0.9999986717566948,True
Best practices for business process automation description–a case study,"São Mamede, Henrique",Henrique,male,0.9995494627339803,True
Best practices for business process automation description–a case study,"Costa, João",João,male,0.9999597809713936,True
Practice of college music intangible cultural heritage based on clustering improved distance beat tracking algorithm,"Liu, Xiaolei",Xiaolei,unknown,0.735619711072921,False
Generative AI for BPMN Process Analysis: Experiments with Multi-modal Process Representations,"Dolha, Damaris Naomi",Damaris,female,0.9987312343748475,True
Generative AI for BPMN Process Analysis: Experiments with Multi-modal Process Representations,"Buchmann, Robert Andrei",Robert,male,0.9999776797436909,True
From Design to Evaluation: Students Experiencing the BPM Lifecycle Hands-on,"König, Maximilian",Maximilian,male,0.9998238213451786,True
From Design to Evaluation: Students Experiencing the BPM Lifecycle Hands-on,"Völker, Maximilian",Maximilian,male,0.9998238213451786,True
From Design to Evaluation: Students Experiencing the BPM Lifecycle Hands-on,"Weske, Mathias",Mathias,male,0.999948038650782,True
Activity and Sequence Detection Evaluation Metrics: A Comprehensive Tool for Event Log Comparison,"Kurz, Aaron Friedrich",Aaron,male,0.9999569688558521,True
Activity and Sequence Detection Evaluation Metrics: A Comprehensive Tool for Event Log Comparison,"Seiger, Ronny",Ronny,male,0.9976439092588669,True
Activity and Sequence Detection Evaluation Metrics: A Comprehensive Tool for Event Log Comparison,"Franceschetti, Marco",Marco,male,0.9998964214527616,True
Activity and Sequence Detection Evaluation Metrics: A Comprehensive Tool for Event Log Comparison,"Weber, Barbara",Barbara,female,0.999979214602181,True
Implementation of Digital Twins and Big Data Analytics in Industrial Production Processes,"Naugolnova, I.",,unknown,0,False
PM4ILP: An Approach for the Identification and Improvement of Unstructured and Loosely Specified Processes,"Rhif, Maissa",Maissa,female,0.9998849094407107,True
PM4ILP: An Approach for the Identification and Improvement of Unstructured and Loosely Specified Processes,"Ghannouchi, Sonia Ayachi",Sonia,female,0.9999923290636098,True
PM4ILP: An Approach for the Identification and Improvement of Unstructured and Loosely Specified Processes,"Missaoui, Nesrine",Nesrine,female,0.9995099559892598,True
Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,"Zhang, Shuaipeng",Shuaipeng,unknown,0.5258773561003399,False
Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,"Kong, Lanju",Lanju,male,0.9861573864227171,True
Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,"Zheng, Yongqing",Yongqing,male,0.8735662017543929,True
Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,"Liu, Cong",Cong,male,0.9891634952979704,True
Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,"Cui, Lizhen",Lizhen,female,0.9876757659044886,True
Performance Measurement of Reading Teaching-Learning Business Processes: Case of Whole-Word and Syllabic Reading Methods in Primary Schools,"Sahli, Amel",Amel,female,0.6885738073834725,False
Performance Measurement of Reading Teaching-Learning Business Processes: Case of Whole-Word and Syllabic Reading Methods in Primary Schools,"Mejri, Asma",Asma,female,0.9999509248063684,True
Performance Measurement of Reading Teaching-Learning Business Processes: Case of Whole-Word and Syllabic Reading Methods in Primary Schools,"Louati, Aymen",Aymen,male,0.9998603997191416,True
A Semi-Automated Approach to Process Discovery from Multiple Natural Language Documents,"De Moreira Bohnenberger, Nicolas Mauro",Nicolas,male,0.9999785911728513,True
A Semi-Automated Approach to Process Discovery from Multiple Natural Language Documents,"Sosa-Sanchez, Encarna",Encarna,female,0.9998355701347562,True
A Semi-Automated Approach to Process Discovery from Multiple Natural Language Documents,"Thom, Lucineia Heloisa",Lucineia,female,0.9997929220982892,True
AI Resume Parser: Augmented Business Process Management Systems (ABPMS),"Singh, Kulvinder",Kulvinder,male,0.8858973334267405,True
AI Resume Parser: Augmented Business Process Management Systems (ABPMS),"Sharma, Honey",Honey,female,0.9939870632670788,True
AI Resume Parser: Augmented Business Process Management Systems (ABPMS),"Poonia, Guruvi",Guruvi,unknown,0.563681571257583,False
AI Resume Parser: Augmented Business Process Management Systems (ABPMS),"Shyan, Hatesh",Hatesh,unknown,0.544294963530677,False
"Measuring, Analyzing and Managing Process Complexity (Extended Abstract)","Vidgof, Maxim",Maxim,male,0.9998960235079483,True
An End-To-End Execution of a Logistic Process in an AI-Augmented Business Process Management System,"Acitelli, Giacomo",Giacomo,male,0.9999694890720269,True
An End-To-End Execution of a Logistic Process in an AI-Augmented Business Process Management System,"Agostinelli, Simone",Simone,female,0.9989115818066938,True
An End-To-End Execution of a Logistic Process in an AI-Augmented Business Process Management System,"Casciani, Angelo",Angelo,male,0.9998562882400411,True
An End-To-End Execution of a Logistic Process in an AI-Augmented Business Process Management System,"Marrella, Andrea",Andrea,female,0.9990642945711071,True
Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Nandal, Nisha",Nisha,female,0.9999945683365856,True
Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Bordoloi, Dibyahash",Dibyahash,unknown,0.5240859090529885,False
Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Sanyal, Shouvik",Shouvik,male,0.9995391161980056,True
Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Nandal, Naveen",Naveen,male,0.9974383365018991,True
