Integrating Compliance Requirements across Business and IT,2014,3,2,0,False,False,5
Development of the management system of the national sustainable development experimentation areas,2015,2,1,1,False,True,4
EPClets - A lightweight and flexible textual language to augment EPC process modelling,2014,3,1,0,True,False,4
Engineering informatics and industrial information integration engineering,2014,0,1,0,True,True,1
Scenario-based method for business process analysis and improvement in SOA,2014,1,1,1,False,False,3
Towards Process Support for Cloud Manufacturing,2014,5,0,1,False,False,6
Elastic Business Process Management: State of the art and open challenges for BPM in the cloud,2015,5,0,0,False,False,5
Scalable business process execution in the cloud,2014,4,1,0,False,False,5
A knowledge management system based on JSPWiki,2014,2,0,1,False,False,3
Mobile modeling tool based on the horus method,2014,2,1,1,False,False,4
Enhancing knowledge quality via a semantic-oriented framework for a social knowledge cloud,2014,3,0,0,False,False,3
"Forecasting workloads in multi-step, multi-route business processes",2014,2,2,0,False,True,4
A process driven software platform to full support process assessment method,2014,4,1,0,False,False,5
The design and implementation of management information system of electric vehicle charging station based on cyber-Physical system,2015,4,2,1,False,False,7
A dynamic services discovery model for better leveraging BPM and SOA integration,2015,2,0,0,False,False,2
Integrated engineering product design simulation platform for collaborative simulation under the user experience of SME users,2015,4,1,0,False,False,5
TAI: A workflow-based automated testing management system,2014,1,0,1,False,False,2
Modeling and execution of multienterprise business processes,2014,3,0,0,False,False,3
"Workshop on ""BPM in the public sector""; [Workshop zum ""BPM im Öffentlichen Sektor"" Organisatoren]",2014,2,0,0,False,False,2
Barriers and strategies of process knowledge sharing in public sector organizations,2014,3,0,0,False,False,3
An improved structure-based approach to measure similarity of business process models,2014,0,1,2,False,False,3
Mobile supported and process enabled electronic document management system for local municipalities,2014,3,3,0,True,False,6
Theoretical contributions concerning performance-The way to achieve excellence,2014,1,1,0,True,False,2
Process-oriented standard software - An impulse for sustainable business process management at higher education institutions?,2014,2,1,1,False,False,4
How to successfully start the transformation of an academic institution: Case study on the process mapping project at the Czech technical university,2014,3,0,1,False,False,4
Making Business Environments Smarter: A Context-Adaptive Petri Net Approach,2014,1,1,1,True,False,3
Challenges for processing events in logistics processes,2014,0,0,1,False,False,1
Environmentally sustainable business process management - Developing a green BPM readiness model,2014,3,0,0,False,False,3
Work systems based fractal architecture of information systems,2014,0,1,0,True,True,1
The change impact analysis in BPM based software applications: A graph rewriting and ontology based approach,2014,2,0,0,False,False,2
Towards an understanding of real-time continuous feedback from simulation games,2014,3,3,0,False,False,6
Business process modelling in ERP implementation: Literature review,2014,3,0,1,False,False,4
Decoding algorithm of LDPC codes for cascaded BSC-AWGN channels,2014,2,0,0,False,False,2
Social Software and dynamics in business process management; [Soziale Software und Dynamik im Geschäftsprozessmanagement],2014,2,0,0,False,False,2
Semantic variability modeling in business processes: A comparative study,2014,0,3,0,True,True,3
Identifying best practices in business process management using fuzzy analytical hierarchy process,2014,1,1,0,True,False,2
A meta-model for process map design,2014,1,1,1,True,False,3
Business process evaluation in agile business process management using quality models,2014,3,0,0,False,False,3
A review of delegation and break-glass models for flexible access control management,2014,1,1,1,False,False,3
A conceptual framework and classification of capability areas for business process maturity,2014,2,1,0,True,False,3
Towards business process management in networked ecosystems,2014,3,0,0,False,False,3
DGIST: A digital game for international students’ adjustment,2014,1,1,0,True,False,2
"Consistency issues in large business process model environment, A case study",2014,3,0,0,False,False,3
Recognition of similar patterns in popular Hindi Jazz songs by music data mining,2014,0,2,1,True,False,3
Dynamic workflow adjustment with security constraints,2014,1,3,1,False,True,5
"Analysis and improvement of a construction permit approval process: A teaching case for developing business process development capabilities, targeting developing nations",2014,1,4,0,True,True,5
A framework for translating legal knowledge into administrative processes: Dynamic adaption of business processes,2014,0,0,2,False,False,2
Querying business process model repositories: A survey of current approaches and issues,2014,3,1,0,False,True,4
Processing big events with showers and streams,2014,3,0,0,False,False,3
An approach for improving business process models using risk analysis techniques,2014,1,2,0,True,True,3
BPM standardization system in the public administration of Switzerland and its theory-based evaluation; [Das BPM-Standardisierungssystem in der Öffentlichen Verwaltung der Schweiz und dessen Theorie-basierte Evaluierung],2014,1,0,0,False,False,1
Developing a method for prioritizing business process improvement initiatives,2014,3,1,0,False,False,4
Towards a model-driven approach for treating quality attributes of service-based business processes,2014,3,0,0,False,False,3
How should we teach the logic of BPM? Comparing e-learning and face-to-face setting in situated learning,2014,2,1,0,False,True,3
Aspect mining in business process management,2014,1,0,0,False,False,1
Making a link between strategy and process model collections: A multi-layered approach,2014,3,0,0,False,False,3
"Business process management in business development. Status quo on needs, applications and barriers; [Geschäftsprozessmanagement in der Wirtschaftsförderung. Status Quo zu Notwendigkeiten, Anwendungen und Hemmnissen]",2014,2,0,0,False,False,2
An optimized method of business process mining bused on the behavior profile of petri nets,2014,3,0,0,False,False,3
Cloud services platform of public resources trading integration,2014,3,1,1,False,False,5
Business Process Management with mobile routes,2014,2,0,0,False,False,2
Towards automated adaptation of disaster response processes-an approach to insert transport activities,2014,0,1,0,True,True,1
An approach to the decomposition of business processes for execution in the Cloud,2014,4,0,0,False,False,4
Compliance in BPM today - An insight into experts' views and industry challenges,2014,3,2,0,True,True,5
Capability development with process maturity models – Decision framework and economic analysis,2014,1,2,0,True,False,3
Functional testing: A SOA & BPM approach,2014,3,0,0,False,False,3
Improving business processes management systems by introducing soft computing elements,2014,5,0,0,False,False,5
"Use of method for elicitation, documentation, and validation of software user requirements (MEDoV) in agile software development projects",2014,2,0,1,False,False,3
BPMN extension for business process monitoring,2014,3,1,0,True,False,4
An ontological consensus augmented framework for collaborative business process formulation,2014,2,1,0,True,False,3
A model-driven method for enacting the design-time QoS analysis of business processes,2014,1,1,0,False,True,2
GoalDAG – Archimate integration,2014,2,0,0,False,False,2
BPM analysis of all-optical fiber interferometric sensor based on a U-shape microcavity,2014,3,2,0,False,False,5
Testing the impact of wand and Weber's decomposition model on process model understandability,2014,2,1,0,False,False,3
Towards location-aware declarative business process management,2014,3,0,0,False,False,3
Value-driven design and implementation of business processes transferring strategy into execution at pace with certainty,2014,1,0,0,False,False,1
Extending swarm communication to unify choreography and long-lived processes,2014,1,2,0,True,False,3
A genetic algorithm for the inductive derivation of reference models using minimal graph-edit distance applied to real-world business process data,2014,3,0,0,False,False,3
Enterprise Architecture in University analyzing of implementation using business process management,2014,1,0,1,False,False,2
