Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
Bridging the business-IT divide using BPM: challenges and opportunities,2009,3,1,0,False,False,4
Towards an Integration System for Artifact-centric Processes,2016,1,0,0,False,False,1
Editorial: “Business Process Intelligence: Connecting Data and Processes”,2015,2,0,1,False,False,3
The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,2011,2,1,1,False,False,4
Process model matching using heuristic search,2016,1,0,1,False,False,2
A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,2024,4,1,0,False,False,5
Semantic Modelling of Collaborative Business Processes,2009,3,1,0,False,False,4
Sustainability Assessment of Remanufacturing Waste Sheet Steel Into Angle Mesh Steel,2022,1,0,0,False,False,1
"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior",2013,1,0,0,False,False,1
Application of Business Process Management in the Libyan International Medical University: History and Development,2023,1,3,0,True,False,4
Improving Digital Onboarding Processes for Financial Services - A Multivocal Literature Review,2023,2,0,0,False,False,2
Integration between knowledge management and business process management and its impact on the decision making process in the construction sector: a case study of Jordan,2022,3,0,0,False,False,3
Application of Business Process Management in the Libyan International Medical University: History and Development,2023,1,3,0,True,False,4
Applying the Delphi Method to Measure Enterprise Content Management Workflow System Performance,2022,2,0,0,False,False,2
Temporal Constraints in Smart Contract-Based Process Execution: A Case Study of Organ Transfer by Healthcare Delivery Drone,2021,2,2,0,True,False,4
Mining organizational structures from email logs: An NLP based approach,2021,3,0,0,False,False,3
Understanding quality in declarative process modeling through the mental models of experts,2020,4,2,0,False,True,6
A typological framework of process improvement project stakeholders,2020,1,4,0,True,True,5
Process performance measurement system characteristics: An empirically validated framework,2019,2,1,1,False,False,4
A method based on wordNet and Monge-Elkan distance for business process model matching,2018,0,0,1,False,False,1
New optical splitter design for application in fibre-to-the home passive optical network using virtual lab platform,2012,1,3,1,False,False,5
