Year,Male Authors,Percentage Male Authors,Female Authors,Percentage Female Authors,Unknown Gender Authors,Percentage Unknown Gender Authors,Articles with at least one woman,Percentage Articles with at least one woman,Articles with female first author,Percentage Articles with female first author,Articles with female last author,Percentage Articles with female last author,Total Articles,Total Authors
2009,6,75.0,2,25.0,0,0.0,2,100.0,0,0.0,0,0.0,2,8
2011,2,50.0,1,25.0,1,25.0,1,100.0,0,0.0,0,0.0,1,4
2012,1,20.0,3,60.0,1,20.0,1,100.0,0,0.0,0,0.0,1,5
2013,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1
2015,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,3
2016,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,2,3
2018,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,1
2019,2,50.0,1,25.0,1,25.0,1,100.0,0,0.0,0,0.0,1,4
2020,5,45.45,6,54.55,0,0.0,2,100.0,1,50.0,2,100.0,2,11
2021,5,71.43,2,28.57,0,0.0,1,50.0,1,50.0,0,0.0,2,7
2022,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6
2023,4,40.0,6,60.0,0,0.0,2,66.67,2,66.67,0,0.0,3,10
2024,4,80.0,1,20.0,0,0.0,1,100.0,0,0.0,0,0.0,1,5
TOTAL,40,58.82,22,32.35,6,8.82,11,52.38,4,19.05,2,9.52,21,68
