Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Article_9,Article_10,Article_11,Article_12,Article_13,Article_14,Article_15,Article_16,Article_17,Article_18,Article_19,Article_20,Article_21,Article_22,Article_23,Article_24,Article_25,Article_26,Article_27,Article_28,Article_29,Article_30,Article_31,Article_32,Article_33,Article_34,Article_35,Article_36,Article_37,Article_38,Article_39,Article_40,Article_41,Article_42,Article_43,Article_44,Article_45,Article_46,Article_47,Article_48,Article_49,Article_50,Article_51,Article_52,Article_53,Article_54,Article_55,Article_56,Article_57,Article_58,Article_59,Article_60,Article_61,Article_62,Article_63,Article_64,Article_65,Article_66,Article_67,Article_68,Article_69,Article_70,Article_71,Article_72,Article_73,Article_74,Article_75,Article_76,Article_77,Article_78,Article_79,End_Marker
"AI-Khazrage, Lyth",Lyth,male,0.9966979992020594,True,1,Generating High Quality Samples of Process Cases in Internal Audit,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL-MAdhrahi, Zaeem",Zaeem,male,0.9998404212740823,True,1,Integrating Big Data Analytics into Business Process Modelling: Possible Contributions and Challenges,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aagesen, Gustav",Gustav,male,0.9999889917977836,True,1,The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aalst, Wil Van Der",Wil,male,0.9988491702309068,True,1,Editorial: “Business Process Intelligence: Connecting Data and Processes”,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aalst, Wil van der",Wil,male,0.9988491702309068,True,1,"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aamer, Tanel",Tanel,male,0.9918559872070382,True,1,Improving Digital Onboarding Processes for Financial Services - A Multivocal Literature Review,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aapovic, Robert",Robert,male,0.9999776797436908,True,1,K2 platform in Business process management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aaramaa, Sanja",Sanja,female,0.9999949857921516,True,1,Supporting cognitive work in software development workflows,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abarna, S.",,unknown,0.0,False,1,Business logic evaluation model for web service reliability analysis,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abasova, Samira",Samira,female,0.9999943895539188,True,1,The Impact of COVID-19 on Digital Enterprise Management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abb, Luka",Luka,male,0.9885450757384792,True,1,Large Language Models Can Accomplish Business Process Management Tasks,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbad Andaloussi, Amine",Amine,male,0.9843178334572084,True,1,Understanding quality in declarative process modeling through the mental models of experts,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbattista, Chiara",Chiara,female,0.9999918135427956,True,1,"Triad of Digital Transformation: Holistic Orchestration for People, Process, and Technology",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbott, Charon",Charon,female,0.9415744675632084,True,1,A typological framework of process improvement project stakeholders,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abd Latif, Mohd Faizal",Mohd,male,0.9999652934861984,True,1,Quality management of internal supply chain in Halal food manufacturer,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AbdelRazik, Mohamed",Mohamed,male,0.9999971268152898,True,1,Bridging the business-IT divide using BPM: challenges and opportunities,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelakfi, Mahdi",Mahdi,male,0.9994825822684632,True,1,Mining organizational structures from email logs: An NLP based approach,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelkader, Betari",Betari,male,0.5277391472849133,False,1,Towards an active help on detecting data flow errors in business process models,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelkader, Mostefai",Mostefai,male,0.574013886849099,False,2,Process model matching using heuristic search,A method based on wordNet and Monge-Elkan distance for business process model matching,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelnabi, Esra A.",Esra,female,0.99996888003882,True,1,Application of Business Process Management in the Libyan International Medical University: History and Development,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelsalam, Mohammed",Mohammed,male,0.99999732840862,True,1,An Ontology-Based Customer Relationship Management Model for Educational Institutions Using Service-Oriented Architecture,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdennebi, Talbi",Talbi,male,0.9808499420469156,True,1,Overall design approach for urbanized information systems: Application of the method PRAXEME,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdi, Mustapha Kamel",Mustapha,male,0.998603349675528,True,1,Predictive Approach To The Degree Of Business Process Change,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdullaeva, Aliya Serdarovna",Aliya,female,0.9999965137077664,True,1,Modern economic management model efficiency business and criticism traditional budgetings,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdullah, Ziyad Tariq",Ziyad,male,0.9999414664897398,True,1,Sustainability Assessment of Remanufacturing Waste Sheet Steel Into Angle Mesh Steel,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdulwahab, Hudhaifa Mohammed",Hudhaifa,male,0.9422378062730712,True,1,Multi-agent QoS-aware autonomic resource provisioning framework for elastic BPM in containerized multi-cloud environment,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abeck, Sebastian",Sebastian,male,0.9999469726859632,True,1,A Model-Driven Approach for Monitoring Business Performance in Web Service Compositions,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abed, Mourad",Mourad,male,0.9999915789809812,True,1,Decentralized collaborative business process execution using blockchain,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abedi, Mehdi",Mehdi,male,0.9998841882341888,True,1,A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abelló, Alberto",Alberto,male,0.9998864566720465,True,2,Quality measures for ETL processes: from goals to implementation,Quality measures for ETL processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abels, Sven",Sven,male,0.9999829597136493,True,1,Plug-and-play virtual factories,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abeygunasekera, A.W.J.C.",A.W.J.C.,male,0.730592118147364,False,1,Process performance measurement system characteristics: An empirically validated framework,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abeytunge, S.",,unknown,0.0,False,1,Measurement and Optimization of Local Coupling from RHIC BPM Data,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhilash, A.",,unknown,0.0,False,1,Ica based non contact heart rate measurement,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhishek Kadam, Manjushri",Manjushri,female,0.9613903588000398,True,1,IOT Computation Integration into Business Process Management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhishta, Abhishta",Abhishta,female,0.5321989885281302,False,1,Group Workshop as a “Human-Centered Approach” for Identification and Selection of Business Processes for Robotic Process Automation,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abi Assaf, Maroun",Maroun,male,0.9983639772127082,True,1,Towards an Integration System for Artifact-centric Processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abid, Adnan",Adnan,male,0.9999596751967326,True,1,Generating process model collection with diverse label and structural features,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abid, Amal",Amal,female,0.985018849130288,True,1,Temporal Constraints in Smart Contract-Based Process Execution: A Case Study of Organ Transfer by Healthcare Delivery Drone,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abidi, Naseem",Naseem,unknown,0.7365016820976236,False,1,Approaching Quality 4.0: The Digital Process Management as a Competitive Advantage,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AbouGrad, Hisham",Hisham,male,0.9999852296896212,True,1,Applying the Delphi Method to Measure Enterprise Content Management Workflow System Performance,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abramov, Valery",Valery,female,0.9981509467247144,True,1,Creation of an Intelligent Automated Business Process Management System Through Speech and Dialogue Design Patterns,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abramowicz, Witold",Witold,male,0.999973414620794,True,2,Enhancement of Semantic Business Processes with Information Profiles: Application of Mobile Context Information,Semantic Modelling of Collaborative Business Processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abran, Alain",Alain,male,0.9997547561521526,True,3,Representing Unique Stakeholder Perspectives in BPM Notations,Requirements elicitation using BPM notations: Focusing on the strategic level representation,BPM and requirements elicitation at multiple levels of abstraction: A review,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abu-Matar, Mohammad",Mohammad,male,0.9999978931239886,True,1,Translating BPMN to business rules,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abuezhayeh, Sami Wasef",Sami,male,0.9853481728140152,True,1,Integration between knowledge management and business process management and its impact on the decision making process in the construction sector: a case study of Jordan,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abughoush, Ali",Ali,male,0.988143397255068,True,1,Establishing a Business Process Management System in a telecoms company,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
