Article Title,Author Name,First Name,Gender,Probability,Reliable
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Jeanette Egeten, Angelina Ervina",Angelina,unknown,0.0,False
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Rani, Rahma",Rahma,unknown,0.0,False
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Handoko, Olvy Lianara",Olvy,unknown,0.0,False
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Meisah Simamora, Elisabeth",Elisabeth,unknown,0.0,False
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,"Patil, Sandeep",Sandeep,unknown,0.0,False
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,"Pitchai, R.",R.,unknown,0.0,False
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,"Madhubabu, Ch.",Ch.,unknown,0.0,False
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,Gunasekaran,Gunasekaran,unknown,0.0,False
A Systematic Review of Business Process Management in E-Commerce,"Christy Nathaniela, Thalea",Thalea,unknown,0.0,False
A Systematic Review of Business Process Management in E-Commerce,"Purnomo, Agung",Agung,unknown,0.0,False
A Systematic Review of Business Process Management in E-Commerce,"Fadil Persada, Satria",Satria,unknown,0.0,False
A Systematic Review of Business Process Management in E-Commerce,"Rosyidah, Elsa",Elsa,unknown,0.0,False
MaD: A Dataset for Interview-based BPM in Business Process Management,"Li, Xiaoxuan",Xiaoxuan,unknown,0.0,False
MaD: A Dataset for Interview-based BPM in Business Process Management,"Ni, Lin",Lin,unknown,0.0,False
MaD: A Dataset for Interview-based BPM in Business Process Management,"Li, Renee",Renee,unknown,0.0,False
MaD: A Dataset for Interview-based BPM in Business Process Management,"Liu, Jiamou",Jiamou,unknown,0.0,False
MaD: A Dataset for Interview-based BPM in Business Process Management,"Zhang, Mengxiao",Mengxiao,unknown,0.0,False
Exploring factors that affect Business Process Management (BPM) adoption in South African State-Owned Enterprises,"Salamntu, Lumka P.T.",Lumka,unknown,0.0,False
Exploring factors that affect Business Process Management (BPM) adoption in South African State-Owned Enterprises,"Makoza, Frank",Frank,unknown,0.0,False
