Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Country,Correct Gender
"Weerasinghe, Kasuni",Kasuni,female,0.9955853669768552,TRUE,1,"Analysis and improvement of a construction permit approval process: A teaching case for developing business process development capabilities, targeting developing nations",$,,,,,,,New Zeland,TRUE
"Wang, Tianmei",Tianmei,female,0.96909207,TRUE,1,A Study of Interorganizational Process Refactoring Based on Inheritance Technology,$,,,,,,,United States of America,TRUE
"Mihova, Toni",Toni,female,0.9963908861976722,TRUE,1,Factors Affecting Business Process Management in the Bulgarian Enterprises to Achieve Sustainable Development,$,,,,,,,Bulgaria,TRUE
"Onggo, Bhakti S.",Bhakti,female,0.9940309388706556,TRUE,1,Enhancing model quality and scalability for mining business processes with invisible tasks in non-free choice,$,,,,,,,United Kingdom,FALSE
"Lamghari, Zineb",Zineb,female,0.9998311809485392,TRUE,2,Passage challenges from data-intensive system to knowledge-intensive system related to process mining field,A set of indicators for BPM life cycle improvement,$,,,,,,Marroco,TRUE
"Sainbuyan, Khulan",Khulan,female,0.9807685098677188,TRUE,1,"Towards automated analysis of fads and trends in information systems research: Concept, implementation and exemplary application in the context of business process management research",$,,,,,,,Germany,TRUE
"Ćukušić, Maja",Maja,female,0.9999911553938744,TRUE,2,Developing a structured approach to converging business process management and customer experience management initiatives,Conceptualizing the Convergence Model of Business Process Management and Customer Experience Management,$,,,,,,Croatia,TRUE
"Khiari, Bochra",Bochra,female,0.9883332151977652,TRUE,2,A Context Model for Individual Process Management,Towards a DSPL for Context Aware BPM,$,,,,,,Tunisia,TRUE
"Jain, Anshu",Anshu,female,0.990749304,TRUE,1,Collective problem solving using social compute units,$,,,,,,,India,TRUE
"Besembel, Isabel",Isabel,female,0.9994559215026813,TRUE,1,A process model based on Enterprise Architecture for ICT management,$,,,,,,,Venezuela,TRUE
"Scott-Parry, Tracy",Tracy,female,0.9927997803169806,TRUE,1,Improvement of airworthiness certification audits of software-centric avionics systems using a cross-discipline application lifecycle management system methodology,$,,,,,,,United States of America,TRUE
"Mazzocca, Nicola",Nicola,female,0.8823364596903346,TRUE,1,Can the Study of Trajectories Help to Extract Information from Business Processes?,$,,,,,,,Italy,FALSE
"Jagannath, Kavitha",Kavitha,female,0.999994584,TRUE,1,Exploration and Analysis of Undocumented Processes Using Heterogeneous and Unstructured Business Data,$,,,,,,,India,TRUE
"Thanh, Thuy Tran Thi",Thuy,female,0.9974650895835544,TRUE,1,Numerical Design of a 1:3 Optical Power Splitter Based on a 2×3 RI-MMI Coupler Using Silicon Waveguides for C-Band,$,,,,,,,Vietnam,TRUE
"Romero, Alejandra D",Alejandra,female,0.9999857993249032,TRUE,1,Asteroseismology of PG 1541 + 651 and BPM 31594 with TESS,$,,,,,,,Argentina,TRUE
"Allani, Olfa",Olfa,female,0.9929172824051062,TRUE,1,Verification of BPMN 2.0 Process Models: An Event Log-based Approach,$,,,,,,,Tunisia,TRUE
"Quaglini, Silvana",Silvana,female,0.999996825,TRUE,1,A framework for next generation e-health systems and services,$,,,,,,,Italy,TRUE
"Bilinkis, Julia",Julia,female,0.9999893408100504,TRUE,2,Context-Aware Enterprise Modelling towards Agile Models Development,Boosting Motivation Through Process Gamification: Evidence from Higher Education,$,,,,,,Russia,TRUE
"Filipowska, Agata",Agata,female,0.9999959543121028,TRUE,2,Organizational ontologies to support semantic business process management,Semantic Enterprise Description for the Needs of Business Process Automation,$,,,,,,Poland,TRUE
"Choi, Yongsun",Yongsun,female,0.8663995154060852,TRUE,1,API and Component Based Customization of an Open Source Business Process Management System: uEngine,$,,,,,,,South Korea,FALSE
"Lee, Sanghee",Sanghee,female,0.992672433,TRUE,1,Requirements engineering process improvement: Analyzing the organizational culture impact and implementing an empirical study to evaluate the benefits of improvement,$,,,,,,,South Korea,TRUE
"Gómez-López, María Teresa",María,female,0.9998408731018508,TRUE,6,Measuring data-centre workflows complexity through process mining: the Google cluster case,Governance knowledge management and decision support using fuzzy governance maps,Hybrid business process modeling for the optimization of outcome data,Automating correctness verification of artifact-centric business process models,Data state description for the migration to activity-centric business process model maintaining legacy databases,Extending BPMN 2.0 for modelling the combination of activities that involve data constraints,$,,Spain,TRUE
"Nurnaningsih, Desi",Desi,female,0.8689312588068939,TRUE,1,Improving Purchase to Pay Process Efficiency with RPA using Fuzzy Miner Algorithm in Process Mining,$,,,,,,,Indonesia,TRUE
"Ruiz, Mercedes",Mercedes,female,0.9995264603575394,TRUE,2,Met4ITIL: A process management and simulation-based method for implementing ITIL,Uses and applications of software and systems process engineering meta-model process models. a systematic mapping study,$,,,,,,Spain,TRUE
