"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TFGVETQV","conferencePaper","2016","Fleischmann, Christoph; Říha, Karel; Stangl, Gerhard","Logistics Processes Modelled in S-BPM and implemented in SAP to reduce Production Lead Times","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882888","https://doi.org/10.1145/2882879.2882888","Reducing production lead times is an essential factor in maintaining flexibility and customer orientation. In practical applications in our company this mainly lead to a focus on the process steps directly on the shop-floor while overlooking the surrounding production steps in the organizational or administrative areas. Common tools like Value Stream Mapping support this shop-floor focused behaviour. By applying subject-oriented Business Process Management to survey, model, and analyse complex cross-company processes and implementing the identified improvements via SAP we were able to significantly improve the existing logistics and production processes, resulting in an increased process stability and reduced overall lead times.","2016","2025-04-10 20:02:09","2025-06-03 12:38:27","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","Business process management; Floors; Process modelling; process modelling; lean process; Subject-oriented business process management (S-BPM); value stream mapping (VSM); Administrative data processing; Enterprise resource management; Production process; Logistics process; Mapping; Value stream mapping; Customer orientation; Lean process; Process stability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MXSU4JY","conferencePaper","2016","Lednev, Andrey; Ivaschenko, Anton","S-BPM implementation in CUBA Platform for rapid application development","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882884","https://doi.org/10.1145/2882879.2882884","Professional software development is a challenging area of business process management nowadays. The most popular approaches for business process automation are based on Agile software development concept that considers the evolution of requirements during solutions' implementation through collaboration between cross-functional teams. In practice this concept faces the necessity to consider a combination of human and time factors and therefore requires new models and technologies of process management capable of dynamic adaptation.This paper presents an application of subject-oriented business process management (S-BPM) for rapid software development based on CUBA platform. CUBA platform is a high level Java framework designed to provide efficient enterprise software engineering. It is assumed that together with Agile methodology the use of the platform considerably reduces development efforts and project costs. The proposed approach of S-PBM implementation in CUBA platform is compared to existing development tools typically used for business process management and illustrated by the practical example.","2016","2025-04-10 20:02:09","2025-06-03 12:56:19","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","Software engineering; Agile; CUBA Platform; Enterprise Application Development; Java Framework; Rapid Software Development; S-BPM; Software design; Administrative data processing; Enterprise resource management; Application programs; Computer software; Java programming language; Enterprise software; CUBA platform; Enterprise application development; Java framework","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCUUZV2J","conferencePaper","2015","Lerchner, Harald","Towards an open, curious S-BPM community: eliciting stakeholder needs","Proceedings of the 7th International Conference on Subject-Oriented Business Process Management","978-1-4503-3312-2","","10.1145/2723839.2723863","https://doi.org/10.1145/2723839.2723863","The idea of Open S-BPM has been introduced some time ago. The aim of this idea is to establish a research platform with the focus on S-BPM for all interested stakeholders. However, very little is known about the critical factors necessary for facilitating and supporting a vivid community in general. In addition to this, very little is known about the Subject-oriented Business Process Management (S-BPM) community. This paper reports the results of an explorative, qualitative study on the S-BPM community. The aim of the study was to gain information about the expectations, feelings, needs, and motivations of possible community members in order to answer the question of for whom this community should be designed. Data has been gathered through in-depth interviews. The gained information will be used to identify requirements which will be incorporated in a design concept for the S-BPM community. Communities of practice are efficient tools for knowledge generation and sharing and will be a main constituent in the design concept.","2015","2025-04-10 20:02:09","2025-06-03 02:39:51","","","","","","","","","S-BPM ONE '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Kiel, Germany","","","","Business process management; Knowledge acquisition; community of practice; knowledge creation; open S-BPM; qualitative survey; Administrative data processing; Enterprise resource management; In-depth interviews; Knowledge generations; Knowledge creations; Communities of Practice; Community of practice; Open s-bpm; Qualitative surveys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLNVY85B","conferencePaper","2016","Routis, Ioannis; Stratigaki, Christina; Nikolaidou, Mara","Exploring ACM and S-BPM for Modelling Human-centric Processes: An Empirical Comparison","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882893","https://doi.org/10.1145/2882879.2882893","Human-centric processes are characterized by the need to provide participants with everything they require without restricting them. A typical example of such a process is medical treatment, which involves medical personnel cooperating to treat patients. ACM is a well-known approach targeting the support of knowledge workers, while S-BPM is a typical approach targeting role-driven process modeling. In this paper, the characteristics of both approaches are explored, as well as an empirical comparison takes place between them towards human-centric process modeling. To this end, two meta-models were created by the authors of this paper based on the theoretical background of the methodologies, which were evaluated through a medical treatment process case study. Additionally, the similarities between the two approaches were identified, while a comparative study of their specific characteristics was performed, so as to identify points of correlation between ACM and S-BPM so as to combine them in a unified research attempt at a future stage.","2016","2025-04-10 20:02:09","2025-06-03 02:32:01","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","Business Process; Medical treatment; ACM; empirical comparison; Human-centric Business Processes; medical treatment; modeling tools; Subject-BPM; Process engineering; Administrative data processing; Enterprise resource management; Patient treatment; Modeling tool; Empirical - comparisons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVF543GE","conferencePaper","2015","Kahl, Gerrit; Klusch, Matthias; Zinnikus, Ingo; Schimmelpfennig, Jens; Zapp, Manuel","ADIGE: semantic business process management for smart retail environments","Proceedings of the 17th International Conference on Information Integration and Web-Based Applications &amp; Services","978-1-4503-3491-4","","10.1145/2837185.2837274","https://doi.org/10.1145/2837185.2837274","We present the first system, called ADIGE, for the managment of semantic business processes in smart retail environments. Processes in ADIGE are modelled and maintained with the ARIS Business Architect tool, which makes use of a process assistance agent to support the process designer in the realization and adaptation of these processes with services at design time and runtime. The agent exploits means of semantic service selection and composition planning for this purpose. Executable processes can be registered at a smart retail management dashboard for certain events on objects which are monitored by an instrumented retail environment. This allows the retail store manager to get informed on and execute required processes that are recommended by the system in reaction to detected changes in the environment. The ADIGE system prototype has been successfully tested for common business processes in the retail domain in the innovative retail lab of a large European supermarket chain.","2015","2025-04-10 20:02:09","2025-06-03 02:00:57","","","","","","","","","iiWAS '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Brussels, Belgium","","","","Business process management; business processes; Semantics; Costs; Web services; Business Process; Information retrieval; Environmental management; semantic services; smart environments; Information analysis; Administrative data processing; Enterprise resource management; Sales; Smart environment; Websites; World Wide Web; Process designers; Common business process; Executable process; Retail stores; Semantic service; Supermarket chains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6Q37CXT","conferencePaper","2016","Schaller, Thomas; Obermeier, Stefan","Shared Business Objects for Paperless Public Management Processes","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882889","https://doi.org/10.1145/2882879.2882889","Business processes in public administration are still relying on paper. In this article we discuss the idea of shared business objects and outline an architecture that is able to digitize public administration processes considering specific legal needs. The concept consists of a S-BPM process engine, an organization server and a specialized data management system offering determination of access rights to data objects based on process specifications.","2016","2025-04-10 20:02:09","2025-06-03 12:54:26","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","Information management; Access control; S-BPM; Access Control; Database Management Systems; Document Management; E-Government; Public Administration; Information services; Database systems; Administrative data processing; Enterprise resource management; Public administration; Process specification; Government data processing; Document management; Business objects; E-governments; Data management system; Public administration process; Public management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVGAXU8X","conferencePaper","2015","Kannengiesser, Udo; Neubauer, Matthias; Krenn, Florian; Di Francescomarino, Chiara; Majoe, Dennis; Bonaldi, David","Towards context-aware processes in people-centered factories of the future","Proceedings of the 7th International Conference on Subject-Oriented Business Process Management","978-1-4503-3312-2","","10.1145/2723839.2723858","https://doi.org/10.1145/2723839.2723858","This paper presents a framework for context-aware processes on factory shop floors, in which the context used for adapting processes is created directly by the workers involved in the process. It departs from other approaches to building context-aware systems where the context is pre-defined by modelling experts not directly involved in the process. The paper focuses on techniques and tools for capturing people-centered context and using it for adapting processes to the needs of human workers. This framework forms the basis for a set of mockups, prototypes and conceptual models developed within SO-PC-Pro, an ongoing EU FP7 ""Factories of the Future"" research project.","2015","2025-04-10 20:02:09","2025-06-03 02:39:08","","","","","","","","","S-BPM ONE '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Kiel, Germany","","","","User interfaces; Sensors; Context; S-BPM; context; context-awareness; sensors; Administrative data processing; Enterprise resource management; Conceptual model; Techniques and tools; Context- awareness; Context aware process; Factories of the futures; Context-aware systems; Mockups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAFNFZLG","conferencePaper","2016","Heuser, Tobias; Elstermann, Matthes","Working with Natural Language Texts for Process Management: Proposal and Analysis of a Process Analysis Methodology","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882885","https://doi.org/10.1145/2882879.2882885","In this paper we present a method that describes what steps have to be performed in order to derive executable subject-oriented process models from natural language descriptions with the goal to simplify the information exchange between process practitioners and BPM experts. After laying down the necessary formal foundation and the proposed methodology itself, the methodology will be evaluted with a use-case scenario, taken from the area of energy management in electro mobility.","2016","2025-04-10 20:02:09","2025-04-10 20:02:09","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","energy management; modeling language; Natural language; Process Analysis Methodology; subject-oriented","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L86JFVKN","conferencePaper","2016","Ertugrul, Ali Mert; Demirors, Onur","A Method for Modeling Business Processes in a Role-based and Decentralized Way","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882894","https://doi.org/10.1145/2882879.2882894","Role-based and decentralized process modeling allows actors to focus on modeling their own role behaviors and requires them to negotiate to form a consistent and integrated process model. Negotiations among the actors have a crucial impact on modeling activity of overall process since decentralized process modeling has a collaborative nature. Based on the time spent for negotiation among the actors, process modeling approaches vary. In this study, we propose a role-based and decentralized process modeling method, called ROADMap that enables process stakeholders to model their own works in a bottom up manner. In order to observe the implications of the proposed method, we conducted a case study. Case study results indicate that ROADMap method is a successful role-based and decentralized process modeling method for process stakeholders.","2016","2025-04-10 20:02:09","2025-04-10 20:02:09","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","collaborative process modeling; decentralized process modeling; Role-based process modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWZF9DSR","conferencePaper","2016","Forbrig, Peter","Continuous Software Engineering with Special Emphasis on Continuous Business-Process Modeling and Human-Centered Design","Proceedings of the 8th International Conference on Subject-Oriented Business Process Management","978-1-4503-4071-7","","10.1145/2882879.2882895","https://doi.org/10.1145/2882879.2882895","During the last decades several trends have been recognized. An important one is the success of agile development methods. Another one is the increased importance of modeling. Specification languages like UML, BPMN or S-BPM gained a lot of attention and are applied in most projects currently. Additionally, a shifting focus from Technology-Driven Design to Human-Centered Design can be recognized. The paper discusses the existing idea of Continuous Software Engineering that extends traditional software engineering methods by business-administration approaches. It provides the idea of including maintenance into the life-cycle development. Business strategies and software development have to be integrated and have to be supported as a continuous process.Based on the analysis of the literature an even broader view of Continuous Software Engineering is provided. It includes now Business-Process Modeling and Human-Centered Design.","2016","2025-04-10 20:02:10","2025-04-10 20:02:10","","","","","","","","","S-BPM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Erlangen, Germany","","","","Business Process Modeling; Software Engineering; Agile Software Development; Continuous Requirements Engineering; Human-Centered Design; Process Models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
