country,frequency
Germany,58
Belgium,2
United Kingdom,5
Canada,23
Greece,14
France,6
Austria,29
Brazil,18
Portugal,6
Indonesia,1
Spain,19
United States,45
Italy,11
Japan,4
China,15
South Africa,4
Tennessee,1
Thailand,2
Russian Federation,6
Australia,8
Czech Republic,1
Switzerland,5
Malaysia,2
India,4
Taiwan,4
Morocco,4
Florida,2
Estonia,3
Republic of Korea,2
United Arab Emirates,1
Hawaii,3
Ireland,2
Cyprus,2
Bulgaria,3
Colombia,1
The Netherlands,2
Pennsylvania,1
Algeria,1
Virginia,1
Turkey,3
Norway,1
New Zealand,1
Massachusetts,1
Chile,1
