"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DJ3C8DCL","conferencePaper","2009","AbdelRazik, Mohamed; Wong, Janette; Czarnecki, Krzysztof; Nigul, Leho","Bridging the business-IT divide using BPM: challenges and opportunities","Proceedings of the 2009 Conference of the Center for Advanced Studies on Collaborative Research","","","10.1145/1723028.1723086","https://doi.org/10.1145/1723028.1723086","Building successful enterprise software requires an effective collaboration among Business and IT stakeholders. Business analysts capture requirements in business terms. Software engineers interpret these requirements and translate them into the domain of software technology. Yet the different backgrounds and skill sets of these two stakeholder groups naturally lead to the proverbial Business-IT divide. The two groups across the divide speak different languages, each with their own terms and semantics. It is not uncommon to see projects fail because of poorly understood and miscommunicated requirements across the Business-IT divide.","2009","2025-04-10 20:02:46","2025-04-10 20:02:46","","327","","","","","","","CASCON '09","","","","IBM Corp.","USA","","","","","","","","event-place: Ontario, Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHA2ND3C","conferencePaper","2016","Abi Assaf, Maroun","Towards an Integration System for Artifact-centric Processes","Proceedings of the 2016 on SIGMOD'16 PhD Symposium","978-1-4503-4192-9","","10.1145/2926693.2929904","https://doi.org/10.1145/2926693.2929904","The last few years have seen a growing interest in the artifact-centric process modeling approach across database and business process management communities. Artifact-centric processes not only unify databases and how data tuples are processed through their lifecycles but they also provide business people with a paradigm to easily express the way business activities should evolve towards achieving business goals. This PhD thesis focuses on integrating heterogeneous artifacts from different sources in order to provide unified views for managing them. Since artifacts are complex entities composed of information models, state-based lifecycles, tasks and business rules, their integration poses a challenge and requires combining several approaches from different domains like data integration and business process merging. In this paper, we propose a design for an artifact-centric process integration system, in addition to a graphical artifact modeling notation, and an artifact query language that support the artifact integration.","2016","2025-04-10 20:02:48","2025-04-10 20:02:48","","2–6","","","","","","","SIGMOD'16 PhD","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Francisco, California, USA","","","","business process models; business artifact; data integration; modeling notations; query languages; query reformulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRPUIUKK","journalArticle","2015","Aalst, Wil Van Der; Zhao, J. Leon; Wang, Harry Jiannan","Editorial: “Business Process Intelligence: Connecting Data and Processes”","ACM Trans. Manage. Inf. Syst.","","2158-656X","10.1145/2685352","https://doi.org/10.1145/2685352","This introduction to the special issue on Business Process Intelligence (BPI) discusses the relation between data and processes. The recent attention for Big Data illustrates that organizations are aware of the potential of the torrents of data generated by today's information systems. However, at the same time, organizations are struggling to extract value from this overload of data. Clearly, there is a need for data scientists able to transform event data into actionable information. To do this, it is crucial to take a process perspective. The ultimate goal of BPI is not to improve information systems or the recording of data; instead the focus should be in improving the process. For example, we may want to aim at reducing costs, minimizing response times, and ensuring compliance. This requires a “confrontation” between process models and event data. Recent advances in process mining allow us to automatically learn process models showing the bottlenecks from “raw” event data. Moreover, given a normative model, we can use conformance checking to quantify and understand deviations. Automatically learned models may also be used for prediction and recommendation. BPI is rapidly developing as a field linking data science to business process management. This article aims to provide an overview thereby paving the way for the other contributions in this special issue.","2015-04","2025-04-10 20:02:49","2025-04-10 20:02:49","","","","4","5","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","compliance checking; Process mining; business process intelligence; performance analysis; process modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9R7RG9IA","conferencePaper","2011","Aagesen, Gustav; van Veenstra, Anne Fleur; Janssen, Marijn; Krogstie, John","The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands","2011 44th Hawaii International Conference on System Sciences","","","10.1109/HICSS.2011.412","","Governments are developing infrastructures to spur e-government development. These e-government infrastructures are based on the notion of ICT as a utility that can be (re-)used by organizations at all levels of government to create their own service provisioning and to facilitate interaction with each other. This paper investigates the development of such infrastructures by looking at regional and national aspects. A cross-country comparative framework is developed and 2 countries are analyzed. We found that infrastructure development in both countries is similar at a global level, yet the governance is different. While Norway aims to enable integration by developing a Business Process Management building block on the national level, in the Netherlands local governments compose and integrate the building blocks with implementation support from the national level. These differences between e- government infrastructure developments of the two countries can be attributed to the degree of centralization of government and the degree of active support given to e-government developments.","2011-01","2025-04-10 20:05:16","2025-04-10 20:05:16","","1-10","","","","","","","","","","","","","","","","","","","","ISSN: 1530-1605","","","","Computer architecture; Standards; Guidelines; Electronic government","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXR7ZRAX","conferencePaper","2016","Abdelkader, Mostefai; Rodriguez De Guzman, Ignacio Garcia","Process model matching using heuristic search","2016 IEEE/ACS 13th International Conference of Computer Systems and Applications (AICCSA)","","","10.1109/AICCSA.2016.8015034","","The process model matching i.e., finding correspondences between activities of process models, is a crucial task in many activities of business process management lifecycle such as merging, clustering or querying business processes. This paper presents an approach to solve the problem of process model matching. The proposed approach formulates the problem as an optimization problem and uses a genetic algorithm, well known metaheuristic, to find a good enough alignment between two process models. The results of the experiment demonstrate that our approach has the potential to align business process models.","2016-11","2025-04-10 20:06:40","2025-04-10 22:17:18","","1-6","","","","","","","","","","","","","","","","","","","","ISSN: 2161-5330","","","","Business process management; Measurement; Semantics; Optimization; Process management; Heuristic algorithms; Business Process; Genetic algorithms; Alignment; Biological cells; Genetic Algorithm; Matching; Process-models; Administrative data processing; Enterprise resource management; Life cycle; Optimisations; Clusterings; Metaheuristic; Matchings; Process model matching; Problem solving; Optimization problems; Heuristic search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7RGPU5I","journalArticle","2024","Abedi, Mehdi; Chiong, Raymond; Noman, Nasimul; Liao, Xiaoya; Li, Debiao","A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines","IEEE Transactions on Engineering Management","","1558-0040","10.1109/TEM.2022.3182380","","Batch processing machines, which operate multiple jobs at a time, are commonly used in energy-intensive industries. A significant amount of energy can be saved in such industries using production scheduling as an approach to enhance efficiency. This study deals with an energy-aware scheduling problem for parallel batch processing machines with incompatible families and job release times. In such an environment, a machine may need to wait until all the jobs in the next batch become ready. During waiting time, a machine can be switched off or kept on standby for more energy-efficient scheduling. We first present a mixed-integer linear programming (MILP) model to solve the problem. However, the presented MILP model can only solve small problem instances. We therefore propose an energy-efficient tabu search (ETS) algorithm for solving larger problem instances. The proposed solution framework incorporates multiple neighborhood methods for efficient exploration of the search space. An energy-related heuristic is also integrated into the ETS for minimizing energy consumption during the waiting time. The performance of our proposed ETS algorithm is validated by comparing it with CPLEX for small problem instances and with two other heuristic algorithms for larger problem instances. The contribution of different components in ETS is also established in our experimental studies. The proposed solution framework is expected to bring many benefits in energy-intensive industries both economically and environmentally.","2024","2025-04-10 20:07:21","2025-04-10 20:07:21","","4502-4516","","","71","","","","","","","","","","","","","","","","","","","","","Industries; Switches; Production; Mathematical models; Energy consumption; Job shop scheduling; Metaheuristics; Batch processing machine (BPM) scheduling; energy-related heuristic (EH); incompatible families; neighbor- hood moves (NMs); release times; tabu search (TS); total energy consumption (TEC); total weighted tardiness (TWT)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VPFVYQXV","conferencePaper","2009","Abramowicz, Witold; Haniewicz, Konstanty; Kaczmarek, Monika; Zyskowski, Dominik","Semantic Modelling of Collaborative Business Processes","2009 International Conference on Information, Process, and Knowledge Management","","","10.1109/eKNOW.2009.16","","Business collaboration is a special type of a business process that involves at least two, but typically more partners and usually is described using a choreography model. The complexity of collaborative business processes causes difficulties in modelling them in a user friendly manner and even more difficulties in representing them in a machine understandable form. The main goal of this paper is to discuss the scope of the semantic support that is required for the needs of automation of collaborative business processes as well as possible benefits resulting from machine readable annotation of choreography models.","2009-02","2025-04-10 20:07:59","2025-04-10 20:07:59","","116-122","","","","","","","","","","","","","","","","","","","","","","","","BPM; Automation; business processes; Web services; Knowledge management; Ontologies; Management information systems; Project management; collaboration; web services; SOA; Contracts; International collaboration; Time factors; Formal languages; choreography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWRBWIVJ","journalArticle","2022","Abdullah, Ziyad Tariq","Sustainability Assessment of Remanufacturing Waste Sheet Steel Into Angle Mesh Steel","IEEE Engineering Management Review","","1937-4178","10.1109/EMR.2022.3193276","","In this article, an application of metal forming by a roll-forming process was performed to produce angle mesh steel (AMS) sections from mesh steel strips that were remanufactured from waste steel sheet (WSS) recovered from end-of-life passenger cars. To evaluate the overall sustainability of this remanufacturing process, six different meshing ratios (1.75, 2.19, 4.75, 5.94, 9.75, and 12.19) of AMS, corresponding to the degree of added value, were applied to compare the sustainability of AMS and WSS. AMS remanufacturing can be achieved with high technical, economic, and environmental indices of 0.87, 0.96, and 0.98, respectively. The low social sustainability index of 0.23–0.34 indicates that there is still much scope for employment, human development, and experience accumulation to be exploited. This low social index threshold range does not affect the high overall sustainability index (0.75–0.85), which shows that remanufacturing of end-of-life passenger car WSS into AMS is a multiple-bottom-line sustainable development process. This article contributes to increasing the sustainability of the automotive industry by providing profitable applications of recovered WSS to avoid recycling or landfill.","2022","2025-04-10 20:08:43","2025-04-10 20:08:43","","171-180","","3","50","","","","","","","","","","","","","","","","","","","","","Business process management; Industries; Sustainable development; technology management; resource management; Automobiles; Boron; end-of-life vehicles (ELVs); Recycling; remanufacturing; Steel; Strips; sustainable development; waste recovery; waste to value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4H9TKIKL","journalArticle","2013","Aalst, Wil van der","Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior","IEEE Transactions on Services Computing","","1939-1374","10.1109/TSC.2012.25","","Web services are an emerging technology to implement and integrate business processes within and across enterprises. Service orientation can be used to decompose complex systems into loosely coupled software components that may run remotely. However, the distributed nature of services complicates the design and analysis of service-oriented systems that support end-to-end business processes. Fortunately, services leave trails in so-called event logs and recent breakthroughs in process mining research make it possible to discover, analyze, and improve business processes based on such logs. Recently, the task force on process mining released the process mining manifesto. This manifesto is supported by 53 organizations and 77 process mining experts contributed to it. The active participation from end-users, tool vendors, consultants, analysts, and researchers illustrate the growing significance of process mining as a bridge between data mining and business process modeling. In this paper, we focus on the opportunities and challenges for service mining, i.e., applying process mining techniques to services. We discuss the guiding principles and challenges listed in the process mining manifesto and also highlight challenges specific for service-orientated systems.","2013-10","2025-04-10 20:09:14","2025-04-10 22:17:01","","525-535","","4","6","","","","","","","","","","","","","","","","","","","","","Business process management; business process management; Computational modeling; Analytical models; Web services; Data mining; Process mining; Context; conformance checking; Business process model; Emerging technologies; Quality of service; Customer services; service discovery; Enterprise resource management; Conformance checking; Systems engineering; Service discovery; Service Oriented Systems; Service orientation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GF8XXCNL","conferencePaper","2023","Abdelnabi, Esra A.; Fadel, Maram A.; Erhoma, Latifa A.; Elbarghathi, Bariq A.","Application of Business Process Management in the Libyan International Medical University: History and Development","2023 IEEE 3rd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA)","","","10.1109/MI-STA57575.2023.10169815","","Business Process Management (BPM) as a management discipline has become crucial for organizations to be competitive and also an important area of research for many business organizations. The need for employees with skills and knowledge in business process management, as organizations develop their processes through modeling, simulation, implementation and continuous improvement may require an appropriate workforce to develop people with knowledge and expertise such as business process modelers, analysts, designers and implementers etc. This places a great demand on higher education institutions to provide these competencies by teaching business process management to their students. It has become necessary to develop educational approaches that actually allow for effective BPM teaching. Furthermore, to provide high-quality education and research, the universities themselves may take advantage of Business Process Management. Due to the emergence of BPM a number of higher education institutions around the world have begun implementing BPM over the past few decades. However, the number of institutions that offer specialized education on BPM in a systematic and in-depth manner is rare compared to other disciplines. This paper presents a business process management project at the Libyan International Medical University (LIMU) for the purpose of digital transformation from a functional management system to a business process management system. We will present the project from its inception, the process of selecting trainees, the stages of development they have gone through and the current stage of the project. In general, the selected trainees have achieved high levels of learning using the assisted self-learning method.","2023-05","2025-04-10 20:13:15","2025-04-10 20:13:15","","348-352","","","","","","","","","","","","","","","","","","","","","","","","Digital transformation; Business Process Management; Process control; Analytical models; Systematics; Conferences; Organizations; Digital Transformation; Education; Functional Management; Higher Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
