Tag,Frequency
business process management,10
enterprise resource management,8
business process,5
process management,4
semantics,3
web services,3
digital transformation,3
process mining,2
process modeling,2
alignment,2
matching,2
industries,2
bpm,2
knowledge management,2
sustainable development,2
analytical models,2
conformance checking,2
service discovery,2
systems engineering,2
functional management,2
case-studies,2
business process models,1
business artifact,1
data integration,1
modeling notations,1
query languages,1
query reformulation,1
compliance checking,1
business process intelligence,1
performance analysis,1
computer architecture,1
standards,1
guidelines,1
electronic government,1
measurement,1
optimization,1
heuristic algorithms,1
genetic algorithms,1
biological cells,1
genetic algorithm,1
process-models,1
administrative data processing,1
life cycle,1
optimisations,1
clusterings,1
metaheuristic,1
matchings,1
process model matching,1
problem solving,1
optimization problems,1
heuristic search,1
switches,1
production,1
mathematical models,1
energy consumption,1
job shop scheduling,1
metaheuristics,1
batch processing machine (bpm) scheduling,1
energy-related heuristic (eh),1
incompatible families,1
neighbor- hood moves (nms),1
release times,1
tabu search (ts),1
total energy consumption (tec),1
total weighted tardiness (twt),1
automation,1
business processes,1
ontologies,1
management information systems,1
project management,1
collaboration,1
soa,1
contracts,1
international collaboration,1
time factors,1
formal languages,1
choreography,1
technology management,1
resource management,1
automobiles,1
boron,1
end-of-life vehicles (elvs),1
recycling,1
remanufacturing,1
steel,1
strips,1
waste recovery,1
waste to value,1
computational modeling,1
data mining,1
context,1
business process model,1
emerging technologies,1
quality of service,1
customer services,1
service oriented systems,1
service orientation,1
process control,1
systematics,1
conferences,1
organizations,1
education,1
higher education,1
decision making,1
surveys,1
construction industry,1
decisions makings,1
knowledge management process,1
construction sectors,1
decision makers,1
decision-making process,1
jordan,1
human resource management,1
e-learning,1
learning systems,1
students,1
continuous improvements,1
high educations,1
higher education institutions,1
business organizations,1
modeling simulation,1
temporal constraints,1
smart contract,1
health care,1
block-chain,1
process execution,1
drones,1
healthcare delivery,1
healthcare drone delivery,1
interorganizational process,1
organ transfer,1
electronic mail,1
ann,1
work-flows,1
natural language processing systems,1
classification (of information),1
business contexts,1
information sources,1
agent approach,1
information flux,1
multi actors,1
organizational structures,1
structure mining,1
workflow mining,1
artificial intelligence,1
computer science,1
computers,1
knowledge intensive process,1
declarative process models,1
declarative languages,1
declarative models,1
inherent flexibility,1
personal construct psychology,1
repetitive process,1
process engineering,1
process improvement,1
critical success factor,1
external stakeholders,1
stakeholder groups,1
project stakeholders,1
stakeholder engagement,1
feedback,1
case study research,1
process performance,1
performance measurements,1
characteristics,1
ontology,1
management,1
hypernym,1
hyponym,1
monge-elkan,1
synonym,1
wodnet,1
