"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FXL72MY3","conferencePaper","2023","Jeanette Egeten, Angelina Ervina; Rani, Rahma; Handoko, Olvy Lianara; Meisah Simamora, Elisabeth","The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer","2023 3rd International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA)","","","10.1109/ICICyTA60173.2023.10428793","","","2023","2025-03-12 00:43:02","2025-03-12 00:43:02","","335-340","","","","","","","","","","","","","","","","","","","","","","","","Business process management; 7FE Framework; Business; Business Process Management (BPM); Business Process Management Maturity (BPMM); Companies; Productivity; Proposals; Strategic planning; User Interface (UI); User interfaces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVW9J5S3","conferencePaper","2022","Patil, Sandeep; Pitchai, R.; Madhubabu, Ch.; Gunasekaran","Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing","2022 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","","","10.1109/ICSES55317.2022.9914162","","","2022","2025-03-12 00:43:02","2025-03-12 00:43:02","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Business process management; Business Process Management; Banking; Companies; Automation; Cloud computing; Cloud Computing; Computational modeling; Financial; Know Your Customer; Process control; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZSRJ5XK","conferencePaper","2022","Christy Nathaniela, Thalea; Purnomo, Agung; Fadil Persada, Satria; Rosyidah, Elsa","A Systematic Review of Business Process Management in E-Commerce","2022 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)","","","10.1109/ICIMCIS56303.2022.10017500","","","2022","2025-03-12 00:43:02","2025-03-12 00:43:02","","66-70","","","","","","","","","","","","","","","","","","","","","","","","Business process management; business process management; Analytical models; Biological system modeling; business model; e-commerce; entrepreneurship; Metaverse; Multimedia systems; Semantic Web; systematic literature review; Systematics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJVNBC24","conferencePaper","2023","Li, Xiaoxuan; Ni, Lin; Li, Renee; Liu, Jiamou; Zhang, Mengxiao","MaD: A Dataset for Interview-based BPM in Business Process Management","2023 International Joint Conference on Neural Networks (IJCNN)","","","10.1109/IJCNN54540.2023.10191898","","","2023","2025-03-12 00:43:02","2025-03-12 00:43:02","","1-8","","","","","","","","","","","","","","","","","","","","","","","","Business process management; business process management; Bit error rate; business process modeling; Measurement; natural language processing; Natural language processing; Neural networks; pre-trained language models; Process modeling; question answering (QA); RoBERTa; Text-to-Text Transfer Transformer (T5); Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PDIBAU8M","conferencePaper","2023","Salamntu, Lumka P.T.; Makoza, Frank","Exploring factors that affect Business Process Management (BPM) adoption in South African State-Owned Enterprises","2023 Conference on Information Communications Technology and Society (ICTAS)","","","10.1109/ICTAS56421.2023.10082735","","","2023","2025-03-12 00:43:02","2025-03-12 00:43:02","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Business process management; Business Process Management; Business; Bibliographies; BPM adoption; Communications technology; Focusing; Leadership; South Africa; State-Owned Entreprises","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLUSYSGF","journalArticle","2023","Viriyasitavat, Wattana; Da Xu, Li; Dhiman, Gaurav; Bi, Zhuming","Blockchain-as-a-Service for Business Process Management: Survey and Challenges","IEEE Transactions on Services Computing","","","10.1109/TSC.2022.3199232","","","2023","2025-03-12 00:43:02","2025-03-12 00:54:32","","2299-2314","","3","16","","","","","","","","","","","","","","","","","","","","","business process management (BPM); Business; Systematics; Bibliographies; Adaptation models; Blockchain technology (BCT); blockchain-as-a-service (BCaaS); business process compliance (BPC); business processes; Collaboration; Regulation; smart contract; Standards organizations; systematic literature review (SLR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUESWNDD","conferencePaper","2023","Mansori, Hafsa Abdjalil; Maatuk, Abdelsalam M.","Digital Transformation of Islamic Banks using Business Process Management","2023 IEEE 3rd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA)","","","10.1109/MI-STA57575.2023.10169836","","","2023","2025-03-12 00:43:02","2025-03-12 00:43:02","","397-401","","","","","","","","","","","","","","","","","","","","","","","","BPMN; Business process management; Digital transformation; Process control; BPM process; Conferences; Islamic Finance; Organizations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFY25CA7","conferencePaper","2022","Tair, Khadidja; Boukhedouma, Saida","Integration of Internet of Things in BPM Lifecycle: Concepts and Comparison of Approaches","2022 First International Conference on Big Data, IoT, Web Intelligence and Applications (BIWA)","","","10.1109/BIWA57631.2022.10037916","","","2022","2025-03-12 00:43:02","2025-03-12 00:43:02","","71-76","","","","","","","","","","","","","","","","","","","","","","","","Business process management; Business; Big Data; BPM lifecycle; Business process management (BPM); Intelligent device; Internet of Things; Internet of things (IoT); Performance evaluation; Smart BPM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9AZQU7U","journalArticle","2023","Gómez-Valiente, Patricia; Benedí, Jennifer Pérez; Lillo-Castellano, José María; Marina-Breysse, Manuel","Smart-IoT Business Process Management: A Case Study on Remote Digital Early Cardiac Arrhythmia Detection and Diagnosis","IEEE Internet of Things Journal","","","10.1109/JIOT.2023.3269820","","","2023","2025-03-12 00:43:03","2025-03-12 00:54:42","","16744-16757","","19","10","","","","","","","","","","","","","","","","","","","","","business process management (BPM); Business; Companies; Internet of Things; Arrhythmia; Business model; cardiac arrhythmia; Computer architecture; device as a Point of Care (PoC); eHealth; Internet of Things (IoT); Monitoring; software architecture; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9INGU8A9","conferencePaper","2024","Ayaz, Teoman Berkay; Gülce, Ege; Hsu, Stanley; Özcan, Alper; Akbulut, Akhan","Multi-Aspect Anomaly Detection with Graph Neural Networks and Kolmogorov-Arnold Networks in Business Process Management","2024 9th International Conference on Computer Science and Engineering (UBMK)","","","10.1109/UBMK63289.2024.10773550","","","2024","2025-03-12 00:43:03","2025-03-12 00:43:03","","557-562","","","","","","","","","","","","","","","","","","","","","","","","Business process management; BPM; Business Process Management; Business; Computer architecture; Anomaly detection; Anomaly Detection; Decoding; Edge Attribute; Feature extraction; Graph neural networks; Graph Neural Networks; Image edge detection; Kolmogorov-Arnold Networks; Profitability; Standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
